DBN,DISTRICT,SCHOOL,SCHOOL LEVEL*,2010-2011 OVERALL SCORE,PRINCIPAL,2010-2011 OVERALL GRADE,2010-2011 PROGRESS CATEGORY SCORE,PROGRESS REPORT TYPE,2010-2011 PROGRESS GRADE,2010-2011 PERFORMANCE CATEGORY SCORE,PEER INDEX*,2010-2011 PERFORMANCE GRADE,2010-2011 ENVIRONMENT CATEGORY SCORE,2010-2011 ENVIRONMENT GRADE,2010-2011 ADDITIONAL CREDIT,2009-10 PROGRESS REPORT GRADE
19K007,19,P.S. 007 Abraham Lincoln,Elementary,60.6,Nydia Acevedo,A ,36.4,EMS,A ,11.7,59.77,B ,8,B ,4.5,B
09X126,9,P.S. 126 Dr Marjorie H Dunbar,Elementary,60.5,Nadine Kee-Foster,A ,41.2,EMS,A ,6.5,64.36,C ,3.7,D ,9,B
15K321,15,P.S. 321 William Penn,Elementary,60.4,Elizabeth Phillips,A ,31.7,EMS,B ,15.3,14.03,A ,10.4,A ,3,A
20K192,20,P.S. 192 - The Magnet School for Math and Science,K-8,60.4,Liset Isaac,A ,41.4,EMS,A ,4.8,52,D ,9.2,A ,5,A
24Q102,24,P.S. 102 Bayview,K-8,60.3,Anthony Pisacano,A ,32.1,EMS,B ,10.6,38.15,B ,11.1,A ,6.5,A
26Q213,26,P.S. 213 The Carl Ullman School,Elementary,60.3,Kathleen Driscoll,A ,29.5,EMS,B ,13.7,20.7,B ,10.6,A ,6.5,A
21K090,21,P.S. 90 Edna Cohen School,Elementary,60.1,Greta Hawkins,A ,40.5,EMS,A ,7.2,53.89,C ,4.4,C ,8,B
28Q161,28,P.S. 161 Arthur Ashe School,Elementary,60,Jill Hoder,A ,31.1,EMS,B ,11.3,38.35,B ,10.6,A ,7,A
29Q195,29,P.S. 195 William Haberle,Elementary,60,Beryl Bailey,A ,38.2,EMS,A ,7.1,57.59,C ,8.2,B ,6.5,D
02M124,2,P.S. 124 Yung Wing,Elementary,59.9,Alice Hom,A ,33.1,EMS,B ,14.4,25.77,A ,7.4,B ,5,A
02M040,2,P.S. 040 Augustus Saint-Gaudens,Elementary,59.7,Susan Felder,A ,34.5,EMS,A ,12.1,15.61,B ,9.6,A ,3.5,A
21K097,21,P.S. 97 The Highlawn,Elementary,59.7,Kristine Mustillo,A ,37.2,EMS,A ,8.9,29.48,C ,8.6,A ,5,A
08X093,8,P.S. 093 Albert G. Oliver,Elementary,59.5,Donald Mattson,A ,37.8,EMS,A ,8.7,62.53,C ,7.5,B ,5.5,B
24Q019,24,P.S. 019 Marino Jeantet,Elementary,59.5,Genie Calibar,A ,31.4,EMS,B ,12.2,58.81,B ,11.4,A ,4.5,B
02M234,2,P.S. 234 Independence School,Elementary,59.4,Lisa Ripperger,A ,33.3,EMS,B ,12.9,9.76,B ,9.2,A ,4,B
03M009,3,P.S. 009 Sarah Anderson,Elementary,59.4,Diane Brady,A ,30.8,EMS,B ,16.9,19.13,A ,10.2,A ,1.5,B
27Q062,27,P.S. 062 Chester Park,Elementary,59.2,Angela O'Dowd,A ,39,EMS,A ,10.5,33.22,B ,6.7,B ,3,C
25Q184,25,P.S. 184 Flushing Manor,Elementary,59,Dora Pantelis,A ,31.5,EMS,B ,12.7,21.92,B ,10.3,A ,4.5,A
17K221,17,P.S. 221 Toussaint L'Ouverture,Elementary,59,Clara Moodie-Kirkland,A ,37.1,EMS,A ,8.5,61.29,C ,9.3,A ,4,C
27Q064,27,P.S. 064 Joseph P. Addabbo,Elementary,58.9,Nina Auster,A ,35.3,EMS,A ,9.9,39.66,C ,10.7,A ,3,C
20K200,20,P.S. 200 Benson School,Elementary,58.7,Javier Muniz,A ,39,EMS,A ,9.8,29.35,C ,4.4,C ,5.5,B
02M041,2,P.S. 041 Greenwich Village,Elementary,58.6,Kelly Shannon,A ,28.6,EMS,B ,12.6,12.16,B ,11.9,A ,5.5,B
20K105,20,P.S. 105 The Blythebourne,Elementary,58.6,Johanna Castronovo,A ,36.1,EMS,A ,9.1,33.76,C ,9.4,A ,4,A
25Q214,25,P.S. 214 Cadwallader Colden,Elementary,58.6,Denise Fuccillo,A ,32.9,EMS,B ,13.5,37.65,B ,10.7,A ,1.5,A
27Q106,27,P.S. 106,Elementary,58.6,Marcella Sills,A ,38.3,EMS,A ,15.2,62.78,A ,4.1,C ,1,B
27Q108,27,P.S. 108 Captain Vincent G. Fowler,Elementary,58.3,Marie Biondollilo,A ,28,EMS,B ,13.1,35.46,B ,10.2,A ,7,A
24Q049,24,P.S. 049 Dorothy Bonawit Kole,K-8,58.3,Anthony Lombardi,A ,32,EMS,B ,12.6,24.4,B ,6.7,B ,7,C
26Q266,26,P.S. / I.S. 266,K-8,58.2,Nicole Scott,A ,29.9,EMS,B ,13.3,23.38,B ,8,B ,7,B
75R373,75,P.S. R373,Elementary,58.2,Ilene Goldstein- Harn,A ,32.8,D75,B ,11.1,,C ,9.8,C ,4.5,B
26Q018,26,P.S. 018 Winchester,Elementary,57.9,Kathleen Peknic,A ,28.8,EMS,B ,16,22.69,A ,10.6,A ,2.5,A
23K041,23,P.S. 041 Francis White,K-8,57.9,Theresa Siegel,A ,39.4,EMS,A ,6,64.67,D ,5.5,C ,7,C
06M189,6,P.S. 189,Elementary,57.8,Theresa Luger,A ,33,EMS,B ,9.9,66.29,C ,8.9,A ,6,A
04M146,4,P.S. 146 Ann M. Short,Elementary,57.7,Mona Silfen,A ,42.3,EMS,A ,3.6,72.58,D ,5.3,C ,6.5,C
24Q013,24,P.S. 013 Clement C. Moore,Elementary,57.7,Dr. Yvonne Angelastro,A ,33.7,EMS,B ,11.9,45.71,B ,8.1,B ,4,B
25Q107,25,P.S. 107 Thomas A Dooley,Elementary,57.6,James Phair,A ,31,EMS,B ,11.3,28.32,B ,10.3,A ,5,B
09X073,9,P.S. 073 Bronx,Elementary,57.6,Jean Mirvil,A ,40.1,EMS,A ,3.8,64.58,D ,6.7,B ,7,B
28Q144,28,P.S. 144 Col Jeromus Remsen,Elementary,57.5,Reva Gluck Schneider,A ,37.2,EMS,A ,8,19.9,C ,7.3,B ,5,B
10X307,10,P.S. X307 - Eames Place,Elementary,57.5,Luisa Fuentes,A ,24.6,EMS,B ,18.6,59.62,A ,13.8,A ,0.5,A
