DBN,DISTRICT,SCHOOL,SCHOOL LEVEL*,2010-2011 OVERALL SCORE,PRINCIPAL,2010-2011 OVERALL GRADE,2010-2011 PROGRESS CATEGORY SCORE,PROGRESS REPORT TYPE,2010-2011 PROGRESS GRADE,2010-2011 PERFORMANCE CATEGORY SCORE,PEER INDEX*,2010-2011 PERFORMANCE GRADE,2010-2011 ENVIRONMENT CATEGORY SCORE,2010-2011 ENVIRONMENT GRADE,2010-2011 ADDITIONAL CREDIT,2009-10 PROGRESS REPORT GRADE
10X056,10,P.S. 056 Norwood Heights,Elementary,67.1,Priscilla Sheeran,A ,42.5,EMS,A ,8.5,50.49,C ,10.1,A ,6,A
14K120,14,P.S. 120 Carlos Tapia,Elementary,66.9,Liza Caraballo,A ,39.6,EMS,A ,7.4,63.89,C ,12.4,A ,7.5,C
10X007,10,P.S. 007 Kingsbridge,Elementary,66.8,Frank Patterson,A ,42.1,EMS,A ,8.3,57.65,C ,11.4,A ,5,C
18K235,18,P.S. 235 Lenox School,K-8,66.6,Lisa Solitario,A ,39.6,EMS,A ,15.3,49.73,A ,9.2,A ,2.5,B
25Q022,25,P.S. 022 Thomas Jefferson,Elementary,66.5,Priscilla Milito,A ,41.6,EMS,A ,13,38.94,B ,5.9,C ,6,A
02M059,2,P.S. 059 Beekman Hill International,Elementary,66.5,Adele Schroeter,A ,40,EMS,A ,12.9,17.76,B ,9.6,A ,4,B
24Q087,24,P.S. 087 Middle Village,K-8,66.2,Caryn Michaeli,A ,38.8,EMS,A ,7.4,40.76,C ,9.5,A ,10.5,A
17K249,17,P.S. 249 The Caton,K-3,65.7,Ms. Elisa Brown,A ,22.8,EC,A ,17.5,60.54,A ,13.4,A ,12,A
75X017,75,P.S. X017,K-8,65.6,Robin Cohen,A ,38.1,D75,A ,12.2,,B ,9.3,A ,6,A
31R023,31,P.S. 023 Richmondtown,Elementary,65.4,Frank Campagna,A ,38.6,EMS,A ,10.9,19.18,B ,8.4,B ,7.5,B
28Q099,28,P.S. 099 Kew Gardens,Elementary,65.4,Paulette Foglio,A ,41.2,EMS,A ,12.9,37.31,B ,7.3,B ,4,A
20K163,20,P.S. 163 Bath Beach,Elementary,65.3,Maryann Wasmuth,A ,41.2,EMS,A ,9,37.45,C ,9.6,A ,5.5,A
30Q212,30,P.S. 212,Elementary,65,Carin Ilene Ellis,A ,38,EMS,A ,12.1,51.98,B ,9.3,A ,5.5,B
75K036,75,P.S. 36,Middle,64.9,Johanna Schneider,A ,41.8,D75,A ,9.1,,C ,10.9,A ,3,C
16K335,16,P.S. 335 Granville T. Woods,Elementary,64.9,Dr. Laverne Nimmons,A ,36.5,EMS,A ,13.7,65.93,B ,6.7,B ,8,B
15K295,15,P.S. 295,Elementary,64.7,Deanna Marco,A ,38.9,EMS,A ,11.5,47.65,B ,10.8,A ,3.5,A
24Q081,24,P.S. 81Q Jean Paul Richter,Elementary,64.7,Genevieve Ventura,A ,35,EMS,A ,9.6,56.53,C ,10.6,A ,9.5,A
17K241,17,P.S. 241 Emma L. Johnston,Elementary,64.6,Frantz Lucius,A ,36.4,EMS,A ,15.6,62.35,A ,7.6,B ,5,C
10X015,10,P.S. X015 Institute for Environmental Learning,K-8,64.3,Tara Edmonds,A ,32.4,EMS,B ,14.4,60.32,A ,13,A ,4.5,A
10X315,10,P.S. 315 Lab School,K-8,64.2,Elsie Cardona-Berardinelli,A ,33.4,EMS,B ,14.6,61.52,A ,11.2,A ,5,A
75Q004,75,P.S. Q004,Elementary,63.8,Marcy Berger,A ,32.4,D75,B ,13.4,,B ,12,A ,6,A
18K244,18,P.S. 244 Richard R. Green,Elementary,63.7,Ms. Grace Alesia,A ,36.2,EMS,A ,10,57.88,C ,11,A ,6.5,B
26Q026,26,P.S. 026 Rufus King,Elementary,63.4,Dina Koski,A ,34.6,EMS,A ,13.3,25.68,B ,7.5,B ,8,A
21K099,21,P.S. 099 Isaac Asimov,K-8,63.3,Gregory Pirraglia,A ,37.6,EMS,A ,9.8,41.34,C ,8.9,A ,7,A
24Q199,24,P.S. 199 Maurice A. Fitzgerald,Elementary,63.1,Anthony Inzerillo,A ,39.9,EMS,A ,11.7,48.28,B ,8.5,A ,3,B
26Q159,26,P.S. 159,Elementary,63.1,Marlene Zucker,A ,28.1,EMS,B ,16.3,22.52,A ,11.6,A ,7,A
20K069,20,P.S. 69 Vincent D. Grippo School,Elementary,63,Jaynemarie Capetanakis,A ,39.6,EMS,A ,7.3,37.82,C ,11.1,A ,5,A
03M199,3,P.S. 199 Jessie Isador Straus,Elementary,62.6,Katy Rosen,A ,36.5,EMS,A ,14.4,12.93,A ,8.2,B ,3.5,A
08X152,8,P.S. 152 Evergreen,Elementary,62.3,Frances Lynch,A ,36.7,EMS,A ,10.5,62.71,B ,8.1,B ,7,A
25Q130,25,P.S. 130,K-3,62.1,Michelle Contratti,A ,30,EC,A ,19.5,20.62,A ,8.6,B ,4,A
10X086,10,P.S. 086 Kingsbridge Heights,Elementary,61.7,Sheldon Benardo,A ,31.5,EMS,B ,10.7,62.16,B ,12.5,A ,7,A
24Q089,24,P.S. 089 Elmhurst,Elementary,61.7,Casper Cacioppo,A ,35.2,EMS,A ,12.3,55.76,B ,10.7,A ,3.5,A
15K130,15,P.S. 130 The Parkside,Elementary,61.6,Maria Nunziata,A ,36.8,EMS,A ,13.1,49.88,B ,8.2,B ,3.5,B
02M006,2,P.S. 006 Lillie D. Blake,Elementary,61.6,Lauren Fontana,A ,38.4,EMS,A ,13.9,11.23,B ,5.8,C ,3.5,B
29Q295,29,P.S./I.S. 295,K-8,61.5,Angela Thompson,A ,37.3,EMS,A ,11.2,39.74,B ,8,B ,5,B
29Q131,29,P.S. 131 Abigail Adams,Elementary,61.5,Randolph Ford,A ,34.8,EMS,A ,11.7,37.4,B ,10,A ,5,B
23K155,23,P.S./ I.S. 155 Nicholas Herkimer,K-8,61.5,Nelly Cortes,A ,39.3,EMS,A ,8.5,64.71,C ,8.2,B ,5.5,B
15K146,15,P.S. 146,Elementary,61.3,Anna Allanbrook,A ,32,EMS,B ,10.9,32.68,B ,10.4,A ,8,B
30Q149,30,P.S. 149 Christa Mcauliffe,Elementary,61.2,Esther Salorio,A ,33.8,EMS,B ,12.4,57.22,B ,11,A ,4,B
75M169,75,P.S. M169 - Robert F. Kennedy,Middle,61,Susan Finn,B ,43.8,D75,A ,6.7,,F ,6,D ,4.5,D
08X062,8,P.S. 062 Inocensio Casanova,Elementary,61,Lisa Manfredonia,A ,42.7,EMS,A ,6.7,64.26,C ,5.6,C ,6,B
20K205,20,P.S. 205 Clarion,Elementary,61,Beth Grater,A ,40.6,EMS,A ,9.1,39.83,C ,5.3,C ,6,B
26Q178,26,P.S./ IS 178 Holliswood,K-8,60.8,Jennifer Ambert,A ,34.8,EMS,A ,11,19.98,B ,7.9,B ,7,B
20K048,20,P.S. 048 Mapleton,Elementary,60.8,Diane Picucci,A ,39.3,EMS,A ,9.6,36.53,C ,5.4,C ,6.5,B
01M188,1,P.S. 188 The Island School,K-8,60.7,Mary Pree,A ,41.7,EMS,A ,7.9,64.17,C ,4.1,C ,7,C
25Q209,25,P.S. 209 Clearview Gardens,Elementary,60.6,Mary Mcdonnell,A ,37.6,EMS,A ,12.2,17.76,B ,9.8,A ,1,A
